Serial_Number|District|Area|Production
1|Ariyalur|NA|NA
2|Coimbatore|4|6
3|Cuddalore|NA|NA
4|Dharmapuri|NA|NA
5|Dindigul|NA|NA
6|Erode|NA|NA
7|Kancheepuram|NA|NA
8|Kanyakumari|26810|30027
9|Karur|NA|NA
10|Krishnagiri|NA|NA
11|Madurai|NA|NA
12|Nagapattinam|NA|NA
13|Namakkal|NA|NA
14|Perambalur|NA|NA
15|Pudukkottai|NA|NA
16|Ramanadhapuram|NA|NA
17|Salem|NA|NA
18|Sivagangai|NA|NA
19|Thanjavur|NA|NA
20|Theni|NA|NA
21|The Nilgiris|159|200
22|Tiruvallur|NA|NA
23|Thiruvarur|NA|NA
24|Tiruvannamalai|NA|NA
25|Thoothukudi|NA|NA
26|Tirupur|NA|NA
27|Trichy|NA|NA
28|Tirunelveli|43|48
29|Vellore|NA|NA
30|Villupuram|NA|NA
31|Virudhunagar|NA|NA
